"County","Agriculture_Forestry_and_Mining","Mining_and_Quarrying","Manufacturing","Electricity_supply","Water_supply_waste_collection","Construction","Wholesale_and_Retail_trade_repair_of_motor_vehicles","Transport_and_storage","Accommodation_and_food_service_activities","Information_and_communication","Financial_and_insurance_activities","Real_Estate_activities","Professional_and_technical_services","Administrative_support_services","Public_administration_and_defence","Education","Human_health_and_social_work_activities","Other_service_activities","Financial_services_indirectly_measured","GCP","Year"
"MOMBASA",3434,1223,79135,12151,1462,52579,54485,112182,11343,12887,38610,51458,7706,5483,15218,6839,7415,11919,15945,469584,"2019"
"MURANGA",87141,2410,7454,1850,1070,10303,5395,14071,2499,3189,2346,10536,4338,2227,9168,9572,3705,4617,1112,180780,"2019"
"NAIROBI",5080,817,305338,26375,17350,250188,403471,376594,25964,124510,499297,458810,40786,28744,42540,39332,32968,55733,156971,2586926,"2019"
"NAKURU",110181,643,32462,51146,3311,23006,51922,62437,8753,8311,13483,26577,8938,5648,19842,21304,7365,11958,5653,461636,"2019"
"NANDI",80022,641,8157,456,595,1403,3505,9229,1222,1909,1087,6153,2074,1024,9512,7771,3508,2944,680,140534,"2019"
"NAROK ",74762,230,7571,350,775,1415,5759,14511,1198,4962,1464,8675,1607,1127,15340,9653,4927,3312,825,156813,"2019"
"NYAMIRA",52635,1489,4947,312,486,3567,4680,11234,1274,1181,585,4381,1182,871,9094,5556,3867,1373,427,108286,"2019"
"NYANDARUA",97928,767,2040,282,370,612,1943,7369,1459,1151,1175,4585,2192,1141,9313,5391,1247,2233,463,140734,"2019"
"NYERI",72193,2425,12656,956,1666,1849,19284,23760,2125,5014,6099,11611,3945,2754,11415,8646,4986,3916,1656,193645,"2019"
"SAMBURU",4997,51,1220,63,181,886,2112,1741,1468,340,283,2235,328,546,8194,1636,1380,623,126,28158,"2019"
"SIAYA",36234,1229,3111,466,733,5872,1173,9916,462,2362,651,6013,2791,1050,9449,10687,2850,4411,366,99092,"2019"
"TAITA TAVETA",13980,787,2501,225,570,2773,11912,5928,1174,1331,905,4477,1205,910,7234,2879,695,1800,407,60879,"2019"
"TANA RIVER",8982,61,636,74,154,152,1291,2501,40,780,264,1842,355,344,6630,1591,1346,720,137,27627,"2019"
"THARAKA NITHI",18158,194,2762,111,322,4480,1445,5461,1277,1457,602,2368,1334,755,6164,5835,2400,1396,242,56281,"2019"
"TRANS NZOIA",60026,295,5442,377,842,3515,15193,22136,2086,4687,2267,8491,2247,1160,8207,9108,2624,4142,1278,151566,"2019"
"TURKANA",32811,1409,2113,46,473,4328,5340,19192,350,873,947,6782,585,737,19586,4245,1700,1693,222,102987,"2019"
"UASIN GISHU",54609,771,11951,1459,1829,9775,20869,34870,4150,2561,12309,19958,5652,2698,10796,19442,10400,6811,6810,224099,"2019"
"VIHIGA",32135,1803,1348,297,493,5399,3063,5708,40,815,601,6158,1453,946,7116,6533,2497,2085,410,78080,"2019"
"WAJIR",16445,486,1158,56,377,4146,958,3501,46,342,408,1555,230,245,12201,2292,2240,884,98,47473,"2019"
"WEST POKOT",25537,3065,886,4086,333,578,2561,11244,377,719,251,1783,367,378,8455,5568,1793,906,160,68726,"2019"
"BARINGO",30349,148,4527,126,412,2043,2315,10192,139,2332,1072,3212,1504,995,7788,4871,3593,1403,387,76636,"2020"
"BOMET",85639,733,12056,403,836,12223,1261,10501,626,1082,846,3667,1803,913,8712,7237,2438,2234,464,152744,"2020"
"BUNGOMA",91795,355,8162,760,1357,6294,10327,24093,1349,4031,2381,9979,3142,1641,16869,16571,4623,4286,1310,206705,"2020"
"BUSIA",33107,348,3189,223,683,8927,2597,8884,107,1107,1097,4341,1513,766,11128,7610,2877,2840,527,90817,"2020"
"ELGEYO MARAKWET",80615,573,2467,144,290,1200,2009,9465,137,1394,293,3119,660,452,6962,3938,2694,739,102,117047,"2020"
"EMBU",43429,268,3577,21699,1130,13543,9523,26153,1001,2299,2370,7186,1916,1072,8284,5236,3485,2440,655,153927,"2020"
"GARISSA",18633,654,1304,483,1121,2402,5300,2013,352,830,852,3911,236,381,13954,2807,3939,1029,292,59910,"2020"
"HOMA BAY",54076,504,4774,197,708,2765,4840,13161,791,1838,941,5371,2443,1109,11051,10254,4156,3731,512,122198,"2020"
"ISIOLO",4480,47,472,261,234,3043,2692,1350,318,640,421,1675,400,479,7054,944,1471,791,214,26558,"2020"
"KAJIADO",21845,3283,7696,1911,831,14966,8430,14117,2618,6027,4195,28508,4696,2792,12676,5214,5367,7308,2099,150413,"2020"
"KAKAMEGA",85951,1703,13861,654,1607,3897,13922,17010,1452,6211,2751,14954,3742,2117,16795,20015,2607,5104,1283,214068,"2020"
"KERICHO",78414,173,13228,1201,865,5372,11274,12402,1269,2732,3117,7721,2256,1218,8986,9191,3769,2826,1300,164714,"2020"
"KIAMBU",91492,4857,67672,10163,4283,95312,31217,59408,3482,13582,15855,56136,16992,9415,21710,26393,11984,19853,6495,553312,"2020"
"KILIFI",45424,3938,35927,1070,1995,2461,10834,28389,2529,6207,3085,19453,3596,1893,15550,11293,5706,6054,1231,204172,"2020"
"KIRINYAGA",62063,1683,5888,618,578,770,7356,12780,3101,2805,1851,8106,2663,1126,8692,4620,3274,3036,747,130263,"2020"
"KISII",89171,485,6024,540,1080,7469,10572,29808,1420,1451,3852,9543,3039,1772,15086,11124,5296,3259,1659,199333,"2020"
"KISUMU",41501,1932,28647,6851,1916,18942,18623,37956,2878,4593,10741,31269,4756,2683,15377,12518,6715,6025,4484,249440,"2020"
"KITUI",49987,761,4220,105,1044,3625,6102,19046,1091,3019,1545,7326,2230,1298,14822,11754,5285,3835,715,136380,"2020"
"KWALE",42219,10253,6699,435,601,5094,1790,10117,2741,2252,1155,9788,1583,835,12759,5309,3593,2900,457,119666,"2020"
"LAIKIPIA",27469,136,2535,417,1246,9450,9752,12522,1285,2346,2180,6267,1552,1274,9191,4484,1186,2217,701,94810,"2020"
"LAMU",9825,149,1280,98,124,171,2445,7186,179,735,349,2040,358,246,4754,906,1460,690,136,32857,"2020"
"MACHAKOS",53194,11389,65819,3071,1375,27711,29874,26072,2443,7963,4720,30278,6297,3276,17571,11636,4868,7788,1786,313559,"2020"
"MAKUENI",32741,753,5165,216,698,5179,10022,13058,1126,2256,1150,5646,2587,1315,12442,9014,4120,4153,570,111071,"2020"
"MANDERA",21970,210,1087,430,673,4121,1350,1710,79,747,569,3351,191,273,15204,2868,3290,868,67,58925,"2020"
"MARSABIT",17448,85,629,10168,173,12731,1555,1969,109,769,636,2109,297,337,7906,1631,2164,881,164,61434,"2020"
"MERU",198075,3716,16508,1773,1018,7641,9629,31652,545,3987,6366,19382,4374,2089,15639,11783,7069,6090,2020,345319,"2020"
"MIGORI",49324,7114,3519,378,650,1383,4298,12506,908,2105,999,5003,2093,926,10803,12867,3417,3372,558,121106,"2020"
"MOMBASA",3788,1354,76080,8758,1529,64217,56412,104314,7411,13823,39582,54206,6831,4672,14239,6569,8047,10854,15294,467395,"2020"
"MURANGA",102424,2632,8729,2179,1138,12611,5513,14380,1633,3429,2368,11200,3845,1898,10872,8946,3657,4157,931,200682,"2020"
"NAIROBI",4697,892,300886,27086,17172,305519,419135,339477,16964,128409,534239,409400,36156,24494,51462,38338,31542,50852,147873,2669829,"2020"
"NAKURU",126923,702,33620,47790,3254,28112,53956,63054,5719,8933,14596,28087,7923,4813,18893,19327,9322,10813,5299,480539,"2020"
"NANDI",87093,700,9950,473,600,1727,3561,9421,799,2053,1104,6505,1839,872,10572,7327,4142,2633,619,150753,"2020"
"NAROK ",82963,251,7638,365,734,1751,5855,14832,783,5334,1401,9218,1425,960,16190,9313,5477,2950,777,166662,"2020"
"NYAMIRA",61363,1626,5914,324,488,4366,4939,11492,832,1270,619,4648,1048,742,9130,5235,3937,1213,395,118792,"2020"
"NYANDARUA",107174,837,2180,299,398,762,1974,7528,953,1238,1181,4873,1943,972,9697,5055,1432,2000,435,150062,"2020"
"NYERI",87175,2648,12367,1175,1645,2288,19980,24235,1388,5390,6571,12309,3497,2347,11708,8312,5384,3537,1564,210393,"2020"
"SAMBURU",6181,56,1295,65,180,1083,2159,1772,959,366,325,2349,291,466,8098,1553,1584,548,119,29211,"2020"
"SIAYA",41699,1342,3296,488,747,7188,1191,10072,302,2540,685,6400,2474,895,9882,10087,3346,3973,348,106259,"2020"
"TAITA TAVETA",15881,859,2631,239,565,3397,12459,5762,767,1430,870,4752,1068,775,7493,2653,719,1626,383,63564,"2020"
"TANA RIVER",10428,67,678,78,154,191,1312,2551,26,839,247,1959,314,293,7113,1517,1592,636,129,29866,"2020"
"THARAKA NITHI",21182,215,2960,117,328,5476,1468,5580,834,1566,653,2518,1183,643,7718,5686,2805,1251,229,61957,"2020"
"TRANS NZOIA",70525,322,5784,398,813,4310,15466,22560,1363,5039,2463,8988,1992,988,9785,8592,3188,3726,1179,165121,"2020"
"TURKANA",39179,105,2248,48,343,5298,5425,19208,228,938,932,7222,519,628,19823,4050,1642,1481,217,109101,"2020"
"UASIN GISHU",57744,842,11555,1526,1929,11949,21471,34736,2711,2751,12303,20983,5010,2299,12006,18568,11065,6164,6768,228846,"2020"
"VIHIGA",37317,1969,1438,313,490,6611,3111,5826,26,877,655,6547,1288,806,7793,6234,2625,1868,386,85407,"2020"
"WAJIR",17602,531,1225,58,397,5065,973,2834,30,368,353,1650,204,209,12895,2172,2593,750,94,49816,"2020"
"WEST POKOT",35728,3348,945,4339,330,711,2655,11507,246,773,248,1897,325,322,8938,5288,2308,782,145,80546,"2020"
